statement	response	prediction	gold_label	dataset	shot_count
' Puesto que Dios, el Destino y la Naturaleza han decidido la suerte de esos marinos, ¿no será una blasfemia llevar adelante la operación de rescate? ', manifestó.	1	1	0	CoMeta	4
Y si la sentencia del juez no es suficiente para convertir la de los rayos en oficial?, - cómo es posible que se condene a alguien por quemar un trozo de tela sin más atributos?.	1	1	0	CoMeta	4
Agassi, que no ha tenido su mejor año deportivo ni en el capítulo personal, estuvo en Houston para participar en varios partidos de exhibición junto a otros famosos del deporte como Clyde Drexler y Charles Barkley, que le permitieron incrementar los fondos de su organización benéfica ' Andre Agassi Charitable Foundation ', dedicada a ayudar a los niños más necesitados.	1	1	1	CoMeta	4
Buen año el de 1992 para la Nao de China, o para el Galeón de Manila, o para el Galeón de Acapulco, que tanto monta.	1	1	0	CoMeta	4
Construyó un marco de dignidad en el que reconocerse reconocer se: luchó por otorgar una dimensión humana a unas vidas embrutecidas por la miseria.	1	1	1	CoMeta	4
Mal vamos.	1	1	0	CoMeta	4
Esta respuesta, aludiendo a criterios técnicos para justificar el cambio de postura del de el consorcio, ha enervado a la oposición, y Albert Rivera (C 's) ha indicado que CiU trata de confundir sus intereses partidistas con los de toda Catalunya.	1	1	0	CoMeta	4
La obligación de los responsables públicos es hablar claro y no maquillar la situación, transmitir la realidad es el modo que entendemos, justifica el respeto a los ciudadanos.	1	1	1	CoMeta	4
Los industriales y exportadores han coincidido hoy en que difícilmente se pueda afrontar otra crisis si Argentina entra en recesión.	1	1	1	CoMeta	4
Aquí entran otras razones: por pasar el rato, diría el filósofo de secano; para tranquilzar la conciencia, según el moralista; por patriotismo, acaso apostille algún espíritu trasnochado.	1	1	1	CoMeta	4
Entonces he recurrido al ' Gran larousse ', que dice simplemente que Erskine fue profesor en la Universidad de Columbia (1903 - 1937) y que se hizo famoso por su cinismo fácil y divertido.	1	1	0	CoMeta	4
Roy Trubshaw y Richard Bartle crearon el primer MUD en un PDP - 10.	1	1	0	CoMeta	4
Por algo que no sabía explicar, tenía la convicción de que la maniobra había sido urdida contra ella por Fermina Daza, para no premiar su poema.	1	1	1	CoMeta	4
Quedan, como ven ustedes en el mapa que está en sus pantallas, quedan en fase 1 todas las provincias de la Comunidad Autónoma de Castilla y León, toda la Comunidad Autónoma de Madrid, toda la Comunidad Autónoma de Valencia; en Cataluña, las zonas sanitarias de Girona, Lleida, Catalunya central, Barcelona Ciutat, Metropolitana Nord y Metropolitana Sud; las provincias de Toledo, Ciudad Real y Albacete, y las provincias de Málaga y Granada en la comunidad autónoma de Andalucía.	1	1	0	CoMeta	4
